1 2.223E-03
2 1.683E-03
3 9.956E-04
4 1.221E-03
5 1.876E-03
6 2.665E-03
7 3.419E-03
8 4.049E-03
9 4.518E-03
10 4.823E-03
11 4.522E-03
12 4.607E-03
13 4.562E-03
14 4.417E-03
15 4.198E-03
16 3.927E-03
17 3.626E-03
18 3.310E-03
19 2.991E-03
20 2.681E-03
21 2.235E-03
22 1.988E-03
23 1.754E-03
24 1.538E-03
25 1.340E-03
26 1.161E-03
27 1.000E-03
28 8.582E-04
29 7.331E-04
30 6.236E-04
31 5.282E-04
32 4.457E-04
33 3.744E-04
34 3.131E-04
35 2.605E-04
36 2.154E-04
37 1.770E-04
38 1.444E-04
39 1.170E-04
40 9.469E-05
41 5.744E-05
42 4.694E-05
43 3.820E-05
44 3.097E-05
45 2.502E-05
46 2.015E-05
47 1.618E-05
48 1.296E-05
49 1.035E-05
50 8.250E-06
51 6.562E-06
52 5.209E-06
53 4.127E-06
54 3.265E-06
55 2.578E-06
56 2.033E-06
57 1.601E-06
58 1.259E-06
59 9.893E-07
60 3.553E-06
