 Freq  (hz)   :   9.99999978E-03
 c     (m/s)  :   1.00000000    
 seafloor     : F
 Model        :HOMO3.5.mod
 Model name: HOMO3.5.mod
 LAYER              H     P-VEL     S-VEL   DENSITY  
     1      0.1000E-02  6.000      3.500      2.500    
     2      0.1000E-02  6.000      3.500      2.500    
     3      0.1000E-02  6.000      3.500      2.500    
     4      0.1000E-02  6.000      3.500      2.500    
     5      0.1000E-02  6.000      3.500      2.500    
     6      0.1000E-02  6.000      3.500      2.500    
     7      0.1000E-02  6.000      3.500      2.500    
     8      0.1000E-02  6.000      3.500      2.500    
     9      0.1000E-02  6.000      3.500      2.500    
    10      0.1000E-02  6.000      3.500      2.500    
    11      0.1000E-02  6.000      3.500      2.500    
    12      0.1000E-02  6.000      3.500      2.500    
    13      0.1000E-02  6.000      3.500      2.500    
    14      0.1000E-02  6.000      3.500      2.500    
    15      0.1000E-02  6.000      3.500      2.500    
    16      0.1000E-02  6.000      3.500      2.500    
    17      0.1000E-02  6.000      3.500      2.500    
    18      0.1000E-02  6.000      3.500      2.500    
    19      0.1000E-02  6.000      3.500      2.500    
    20      0.1000E-02  6.000      3.500      2.500    
    21      0.5000E-02  6.000      3.500      2.500    
    22      0.5000E-02  6.000      3.500      2.500    
    23      0.5000E-02  6.000      3.500      2.500    
    24      0.5000E-02  6.000      3.500      2.500    
    25      0.5000E-02  6.000      3.500      2.500    
    26      0.5000E-02  6.000      3.500      2.500    
    27      0.5000E-02  6.000      3.500      2.500    
    28      0.5000E-02  6.000      3.500      2.500    
    29      0.5000E-02  6.000      3.500      2.500    
    30      0.5000E-02  6.000      3.500      2.500    
    31      0.1000E-01  6.000      3.500      2.500    
    32      0.1000E-01  6.000      3.500      2.500    
    33      0.1000E-01  6.000      3.500      2.500    
    34      0.1000E-01  6.000      3.500      2.500    
    35      0.1000E-01  6.000      3.500      2.500    
    36      0.1000E-01  6.000      3.500      2.500    
 COMPZ    :   3.9386949257647075E-010
 TILT     :   6.1432600164909040E-008
ZZ    I   Z(mid)(m)        Ka         Kb          Kr        Kkappa       Kmu         Krho
XX   23    32.50000    -0.00446    -0.04516    -0.02486    -0.00122    -0.02360    -0.00004
ZZ   24    37.50000    -0.00237    -0.03241    -0.01740    -0.00065    -0.01673     0.00000
XX   24    37.50000    -0.00237    -0.03241    -0.01740    -0.00065    -0.01674    -0.00001
ZZ   25    42.50000    -0.00128    -0.02234    -0.01184    -0.00033    -0.01145     0.00000
XX   25    42.50000    -0.00128    -0.02234    -0.01184    -0.00035    -0.01146    -0.00003
ZZ   26    47.50000    -0.00067    -0.01496    -0.00784    -0.00017    -0.00761     0.00000
XX   26    47.50000    -0.00067    -0.01496    -0.00784    -0.00018    -0.00763    -0.00003
ZZ   27    52.50000    -0.00034    -0.00978    -0.00508    -0.00008    -0.00497    -0.00000
XX   27    52.50000    -0.00034    -0.00978    -0.00508    -0.00009    -0.00497    -0.00002
ZZ   28    57.50000    -0.00017    -0.00627    -0.00324    -0.00006    -0.00319     0.00000
XX   28    57.50000    -0.00017    -0.00627    -0.00324    -0.00005    -0.00317    -0.00002
ZZ   29    62.50000    -0.00009    -0.00397    -0.00203    -0.00004    -0.00204     0.00000
XX   29    62.50000    -0.00009    -0.00397    -0.00203    -0.00003    -0.00201     0.00000
ZZ   30    67.50000    -0.00006    -0.00247    -0.00127    -0.00002    -0.00127     0.00000
XX   30    67.50000    -0.00006    -0.00247    -0.00127    -0.00002    -0.00125    -0.00001
ZZ   31    75.00000    -0.00003    -0.00123    -0.00063    -0.00001    -0.00062     0.00000
XX   31    75.00000    -0.00003    -0.00123    -0.00063    -0.00001    -0.00062    -0.00000
ZZ   32    85.00000    -0.00001    -0.00045    -0.00022    -0.00000    -0.00022     0.00000
XX   32    85.00000    -0.00001    -0.00045    -0.00022    -0.00000    -0.00023     0.00002
ZZ   33    95.00000    -0.00000    -0.00014    -0.00007     0.00000    -0.00007     0.00000
XX   33    95.00000    -0.00000    -0.00014    -0.00007    -0.00000    -0.00007     0.00000
ZZ   34   105.00000     0.00000    -0.00005    -0.00003    -0.00000    -0.00003     0.00000
XX   34   105.00000     0.00000    -0.00005    -0.00003     0.00000    -0.00002    -0.00001
ZZ   35   115.00000     0.00000    -0.00003    -0.00001    -0.00000    -0.00001     0.00000
XX   35   115.00000     0.00000    -0.00003    -0.00001     0.00000    -0.00001    -0.00000
ZZ   36   125.00000     0.00000    -0.00001    -0.00001    -0.00000    -0.00001     0.00000
XX   36   125.00000     0.00000    -0.00001    -0.00001     0.00000    -0.00001    -0.00000
